00005205-a absolut 0.90
00006336-a absorbent 0.90
00011757-a abstracte 0.90
00015720-a pletòric 0.90
00017782-a acceptable 0.90
00018584-a inacceptable 0.90
00025238-a àcid 0.90
00025238-a àcida 0.90
00025470-a àcid 0.90
00030508-a possessiu 0.90
00032733-a àgil 0.90
00033574-a inactiu 0.90
00034322-a inert 0.90
00039592-a passiu 0.90
00041051-a extint 0.90
00045123-a crònic 0.90
00045561-a virulent 0.90
00047786-a addictiu 0.90
00048858-a addicional 0.90
00049469-a intercalar 0.90
00051045-a adequat 0.90
00051696-a inadequat 0.90
00052012-a deficient 0.90
00052246-a incapaç 0.90
00052672-a adhesiu 0.90
00053032-a adherent 0.90
00053384-a coherent 0.90
00053564-a cohesiu 0.90
00053691-a viscós 0.90
00064479-a avantatjós 0.90
00065791-a aventurer 0.90
00068566-a aeròbic 0.90
00069531-a estètic 0.90
00071559-a subjecte 0.90
00072281-a immune 0.90
00079356-a claustrofòbic 0.90
00081513-a xenòfob 0.90
00081513-a xenòfoba 0.90
00082241-a agressiu 0.90
00086341-a frenètic 0.90
00086801-a psicodèlic 0.90
00089550-a vexatori 0.90
00089550-a irritant 0.90
00092933-a heurístic 0.90
00095094-a vital 0.90
00095280-a mort 0.90
00095873-a difunt 0.90
00095873-a mort 0.90
00100634-a alfabètic 0.90
00101609-a altruista 0.90
00102201-a ambigu 0.90
00102930-a enigmàtic 0.90
00104051-a ambiciós 0.90
00109261-a anàdrom 0.90
00109966-a anal 0.90
00111129-a sintètic 0.90
00112018-a polisintètic 0.90
00112231-a analític 0.90
00113476-a apocàrpic 0.90
00113818-a enfadat 0.90
00113818-a enutjat 0.90
00114454-a furiós 0.90
00118567-a viu 0.90
00119006-a vital 0.90
00120574-a anònim 0.90
00127948-a proper 0.90
00127948-a següent 0.90
00131176-a frontal 0.90
00143376-a indefens 0.90
00148078-a astut 0.90
00148078-a murri 0.90
00151855-a mut 0.90
00157389-a associatiu 0.90
00159498-a sèssil 0.90
00159975-a sèssil 0.90
00160768-a separat 0.90
00162386-a cautelós 0.90
00165943-a oblidós 0.90
00165943-a oblidadís 0.90
00173220-a embarassada 0.90
00173220-a encinta 0.90
00173220-a prenyada 0.90
00173764-a oïble 0.90
00174150-a sònic 0.90
00175300-a ultrasónico 0.90
00175528-a sònic 0.90
00177547-a pròsper 0.90
00178126-a ominós 0.90
00180496-a al·lòcton 0.90
00181476-a automàtic 0.90
00183053-a disponible 0.90
00185921-a indisponible 0.90
00186616-a despert 0.90
00186616-a llevat 0.90
00191265-a sensat 0.90
00191265-a assenyat 0.90
00193480-a horrible 0.90
00193480-a hòrrid 0.90
00193480-a esgarrifós 0.90
00194357-a amenaçador 0.90
00205295-a impudent 0.90
00210848-a calb 0.90
00217728-a bonic 0.90
00217728-a bonica 0.90
00219389-a gloriós 0.90
00219389-a esplèndid 0.90
00220082-a bonic 0.90
00220956-a lleig 0.90
00220956-a lletja 0.90
00221627-a monstruós 0.90
00225564-a malèvol 0.90
00227507-a millor 0.90
00228645-a òptim 0.90
00230335-a millor 0.90
00233263-a bicameral 0.90
